label,variable,stat_type,denominator,category
Overall Median Earnings (Total),S2404_C04_001,currency,NA,Industry Earnings
Overall Median Earnings (Male),S2404_C05_001,currency,NA,Industry Earnings
Overall Median Earnings (Female),S2404_C06_001,currency,NA,Industry Earnings
"Ag, Forestry, Fishing, Mining (Total)",S2404_C04_002,currency,NA,Industry Earnings
"Ag, Forestry, Fishing, Mining (Male)",S2404_C05_002,currency,NA,Industry Earnings
"Ag, Forestry, Fishing, Mining (Female)",S2404_C06_002,currency,NA,Industry Earnings
Construction (Total),S2404_C04_005,currency,NA,Industry Earnings
Construction (Male),S2404_C05_005,currency,NA,Industry Earnings
Construction (Female),S2404_C06_005,currency,NA,Industry Earnings
Manufacturing (Total),S2404_C04_006,currency,NA,Industry Earnings
Manufacturing (Male),S2404_C05_006,currency,NA,Industry Earnings
Manufacturing (Female),S2404_C06_006,currency,NA,Industry Earnings
Wholesale Trade (Total),S2404_C04_007,currency,NA,Industry Earnings
Wholesale Trade (Male),S2404_C05_007,currency,NA,Industry Earnings
Wholesale Trade (Female),S2404_C06_007,currency,NA,Industry Earnings
Retail Trade (Total),S2404_C04_008,currency,NA,Industry Earnings
Retail Trade (Male),S2404_C05_008,currency,NA,Industry Earnings
Retail Trade (Female),S2404_C06_008,currency,NA,Industry Earnings
"Transpo, Warehousing, Utils (Total)",S2404_C04_009,currency,NA,Industry Earnings
"Transpo, Warehousing, Utils (Male)",S2404_C05_009,currency,NA,Industry Earnings
"Transpo, Warehousing, Utils (Female)",S2404_C06_009,currency,NA,Industry Earnings
Information (Total),S2404_C04_012,currency,NA,Industry Earnings
Information (Male),S2404_C05_012,currency,NA,Industry Earnings
Information (Female),S2404_C06_012,currency,NA,Industry Earnings
"Finance, Insurance, Real Est (Total)",S2404_C04_013,currency,NA,Industry Earnings
"Finance, Insurance, Real Est (Male)",S2404_C05_013,currency,NA,Industry Earnings
"Finance, Insurance, Real Est (Female)",S2404_C06_013,currency,NA,Industry Earnings
"Prof, Scientific, Mgmt, Admin (Total)",S2404_C04_016,currency,NA,Industry Earnings
"Prof, Scientific, Mgmt, Admin (Male)",S2404_C05_016,currency,NA,Industry Earnings
"Prof, Scientific, Mgmt, Admin (Female)",S2404_C06_016,currency,NA,Industry Earnings
"Edu, Health, Social Assist (Total)",S2404_C04_020,currency,NA,Industry Earnings
"Edu, Health, Social Assist (Male)",S2404_C05_020,currency,NA,Industry Earnings
"Edu, Health, Social Assist (Female)",S2404_C06_020,currency,NA,Industry Earnings
"Arts, Ent, Rec, Food Svcs (Total)",S2404_C04_023,currency,NA,Industry Earnings
"Arts, Ent, Rec, Food Svcs (Male)",S2404_C05_023,currency,NA,Industry Earnings
"Arts, Ent, Rec, Food Svcs (Female)",S2404_C06_023,currency,NA,Industry Earnings
Other Services (Public Admin) (Total),S2404_C04_026,currency,NA,Industry Earnings
Other Services (Public Admin) (Male),S2404_C05_026,currency,NA,Industry Earnings
Other Services (Public Admin) (Female),S2404_C06_026,currency,NA,Industry Earnings
Public Administration (Total),S2404_C04_027,currency,NA,Industry Earnings
Public Administration (Male),S2404_C05_027,currency,NA,Industry Earnings
Public Administration (Female),S2404_C06_027,currency,NA,Industry Earnings
